,keywords
35,"['prison', 'rape', 'socially deprived family', 'penalty', 'death penalty', 'despair', 'death row', 'begnadigung', 'therapist', 'self-discovery', 'prison cell', 'court case', 'death sentence', 'doomed man', 'sentence', 'lethal injection', 'forgiveness', 'charity', 'mercy petition', 'rage and hate', 'unsociability', 'right and justice', 'court', 'electric chair', 'cowardliness']"
36,[]
37,"['orphan', 'identical twin']"
38,"['puberty', 'high school', 'make a match', 'spoiled child', 'gay interest', 'conflict', 'woman director']"
39,['south africa']
40,"['england', 'shakespeare', 'kidnapping', 'murder', 'king']"
41,"['money', 'loss of virginity', 'hiding in a dumpster', 'mercy killing', 'armored truck', 'crushed by a car']"
42,"['jealousy', 'medicine', 'fountain', 'court', 'wealth', 'spaniel', 'gloves']"
43,"['martial arts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'based on video game', 'hand to hand combat']"
44,"['adultery', 'winter', 'obsession', 'television', 'new hampshire', 'narcissistic personality disorder']"
45,"['wedding vows', 'marriage proposal', 'married couple', 'monogamy', 'advice', 'marriage', 'quilt', 'love', 'family holiday', 'extramarital affair', 'grandmother', 'woman director']"
46,"['self-fulfilling prophecy', 'detective', 's.w.a.t.', 'drug dealer', 'evisceration', 'lust and impulsiveness', 'rage and hate', 'pride and vanity', 'immoderateness', 'insomnia', 'investigation', 'pension', 'police', 'serial killer']"
47,"['culture clash', 'settler', 'forbidden love', 'colony', 'musical', 'gold rush', 'princess', 'romance', 'native american', 'animation', 'virginia', 'star crossed lovers', 'reference to pizarro', 'jamestown virginia', 'pug dog', 'cross cultural relationship', 'musket', 'animate tree', 'indian chief', 'based on myths or folklore', '17th century', 'shamanism', 'songs', 'indians vs. settlers', 'animal sidekick', 'powhatan', 'land claim']"
48,"['professor', 'lgbt', 'woman director']"
49,"['law', 'relatives', 'theft', 'criminal', 'criminal mastermind', 'hungarian', 'sibling']"
50,[]
51,"['prostitute', 'adoption', 'adoptive father', 'childlessness', 'looking for  birth parents', 'adoptive mother', 'independent film', 'illegal prostitution', 'child']"
52,['independent film']
53,"['sport', 'kids and family', 'soccer', 'woman director']"
54,"['alcohol', 'artist', 'music', 'drug', 'band']"
55,[]
56,"['baltimore', 'thanksgiving', 'family clan', 'family conflict', 'generations conflict', 'woman director']"
57,"['island', 'letter', 'postman', 'fisherman', 'poet']"
58,[]
59,"['cupboard', 'games', 'puppet', 'parallel world', 'toy comes to life']"
60,"['rape', 'gun', 'self-defense', 'grieving parents']"
61,"['composer', 'mentor', 'deaf-mute', 'musical', 'apprentice', 'private life', 'music', 'disabled']"
62,"['date', 'slang', 'hip-hop', 'cousin', 'parody', 'hood', 'gang', 'social satire', 'racism', 'gangster']"
63,"['island', 'painting', 'thief', 'seasickness']"
64,"['biotope', 'vegetarian', 'pollution']"
65,"['hacker', 'virtual reality', 'computer', 'sword fight']"
66,[]
67,"['love triangle', 'southern france', 'estate agent', 'menage a trois', 'van', 'woman director']"
68,"['rap music', 'parent child relationship', 'rapper', 'job']"
69,"['dancing', 'brother brother relationship', 'sexual obsession', 'showdown', 'sheriff', 'eroticism', 'nudity', 'bank robber', 'vampire', 'holy water', 'siege', 'stripper', 'priest', 'explosion', 'extreme violence', 'bank robbery', 'preacher', 'hostage situation', 'crucifix', 'recreational vehicle', 'blood spurting', 'convenience store', 'female vampire', 'mexican american border', 'nightclub entertainer', 'boa constrictor']"
70,"['bomb', 'miami', 'sex', 'detective', 'handcuffs', 'based on novel', 'hostage', 'fbi', 'kidnapping', 'russian', 'kgb', 'chase', 'sadism', 'parking garage', 'pizza', 'police protection', 'psychopath', 'remake', 'car crash', 'conspiracy', 'on the run', 'fugitive', 'shootout', 'gunfight', 'sadist', 'foot chase', 'police detective', 'police station', 'car chase', 'held at gunpoint', 'fbi agent', 'double cross', 'cult film', 'computer hacker', 'machine gun', 'swat team', 'grenade launcher', 'underwater scene', 'rogue agent', 'woman lawyer', 'damsel in distress']"
71,['college']
72,"['paris', 'nun', 'boxer', 'lawyer', 'jewish']"
73,"['florist', 'family relationships']"
74,['bully']
75,"['man vs machine', 'alien planet', 'struggle for survival']"
76,[]
77,"['loss of daughter', 'hit-and-run driving ', 'revenge', 'suspense', 'independent film', 'tragedy']"
78,"['jurors', 'blackmail', 'court case', 'son', 'trial', 'courtroom']"
79,"['fish', 'money', 'celebration', 'goldfish']"
80,"['father son relationship', 'bounty hunter', 'boat', 'way of life', 'coffin', 'denver', 'godmother', 'paranoia', 'hitman', 'friendship', 'psychopath', 'revenge', 'murder', 'independent film', 'mafia', 'diner', 'blood', 'gangster', 'violence', 'illegal prostitution', 'extramarital affair']"
81,"['suicide', 'underdog', 'free love', 'philosophy', 'rape', 'mentally disabled', 'loss of mother', 'village life', 'world war ii', 'feminism', 'indian summer ', 'family history', 'widow', 'peasant', 'village', 'mathematics', 'freedom', 'right and justice', 'single', 'homosexuality', 'mother daughter relationship', 'domestic violence', 'university', 'woman director']"
82,"['racial segregation', 'family relationships', 'rural setting', 'african american']"
83,[]
84,"['class society', 'rich woman - poor man', 'scientist', 'naturalist', 'insect']"
85,"['sailing trip', 'diary', 'sailing', 'survival', 'coming of age', 'teenage boy', 'discipline', 'squall', 'sail', 'ship captain', 'caribbean', 'male bonding', 'seasickness', 'storm at sea', '1960s']"
86,"['boss', 'fistfight', 'bully', 'orangutan', 'hotel manager']"
87,"['nitrous oxide', 'candid camera', 'double act', 'political satire', 'crooked politician', 'woman director']"
88,"['assassination', 'train station', 'politics', 'los angeles']"
89,[]
90,"['servant', 'monster', 'laboratory', 'jekyll and hyde', 'housemaid', '19th century']"
91,"['vampire', 'half vampire']"
92,['hometown']
93,"['helicopter', 'river', 'captain', 'underground', 'mexican standoff', 'countdown', 'pilot', 'fistfight', 'canyon', 'major', 'betrayal', 'gunfight', 'train', 'explosion', 'park ranger', 'desert', 'military', 'nuclear device', 'boxing', 'stealth aircraft', 'abandoned mine', 'humvee']"
94,"['play', 'hamlet', 'christmas', 'actor']"
95,"['paris', 'neo-nazi', 'skinhead', 'robbery', 'police brutality', 'hip-hop', 'gun', 'socially deprived family', 'breakdance', 'arabian', 'boredom', 'revenge', 'suburb', 'violence', 'police officer', 'unemployment', 'capture', 'xenophobia']"
96,[]
97,"['narration', 'hollywood', 'prostitution']"
98,"['corruption', 'undercover', 'war on drugs', 'mayor', 'drug dealer', 'presidential election', 'undercover agent', 'investigation', 'police', 'drug']"
99,"['brother brother relationship', 'robbery', 'burglar', 'language barrier', 'motel', 'independent film', 'psychiatric hospital', 'maid', 'theft', 'nervous breakdown', 'escapade', 'laundry room']"
100,[]
101,"['wife husband relationship', 'experiment', 'police', 'murder', 'suspense', 'memory', 'forensic', 'gunman', 'animal experimentation']"
102,"['loss of mother', 'loss of father', 'golf', 'sport', 'taxes']"
103,"['farewell', 'adultery', 'love at first sight', 'photographer', 'wife husband relationship', 'iowa', ""love of one's life"", 'mother role', 'bridge', 'housewife', 'love letter', 'peasant', 'marriage crisis', 'photography', 'unsociability', 'secret love', 'nature documentary']"
104,"['prophecy', 'voodoo', 'single', 'falling in love', 'woman director', 'rich man']"
105,"['island', 'pirate gang', 'puppet', 'treasure hunt']"
106,[]
107,['ex-con']
108,"['individual', 'scotland', 'in love with enemy', 'legend', 'independence', 'idealism', 'revolt', 'tyranny']"
109,"['vietnam veteran', 'taxi', 'obsession', 'drug dealer', 'night shift', 'vigilante', 'alienation', 'misanthrope', 'shot to death', 'illegal prostitution', 'loner']"
110,"['new york', 'martial arts', 'supermarket', 'gang war', 'disabled child', 'gang', 'wedding', 'diamond', 'bronx', 'duringcreditsstinger']"
111,[]
112,"['mining', 'dance lesson', 'coal mining', 'bagpipes']"
113,"['best friend', 'twins', 'country', 'identity swap', 'woman director']"
114,"['fascism', 'auschwitz', 'typhus', 'victim', 'interview', 'prejudice', 'burglary', 'rabbit']"
115,"['london england', 'poison', 'based on true story', 'murder', 'serial killer', 'mental institution', 'teenager', 'psychiatrist', 'stepmother', 'social misfit']"
116,"['roommate', 'single', 'love', 'independent film', 'best friend', 'brooklyn bridge']"
117,"['brother brother relationship', 'twin brother', 'lawyer', 'estate', 'santa barbara california']"
118,"['hawaii', 'australia', 'teacher', 'car', 'solar power']"
119,[]
120,"['role of women', 'ladykiller', 'success', ""ladies' man"", 'chefin', 'casanova', 'womanizer']"
121,"['ex-girlfriend', 'drug smuggle', 'girlfriend', 'snack bar', 'romance', 'hong kong', 'pineapple', 'expiration date', 'flight attendant']"
122,[]
123,"['lsd', 'looking for  birth parents', 'half-brother', 'independent film']"
124,"['flying', 'magic']"
125,['woman director']
126,[]
127,[]
128,"['independent film', 'woman director']"
129,"['boy', 'writer', 'ireland', 'flashback', 'troop ship']"
130,"['callgirl', 'san francisco', 'investigation', 'murder']"
131,"['new york', 'emigration', 'dominican republic']"
132,[]
133,"['submarine', 'u.s. navy', 'misfit']"
134,['biography']
135,"['homosexuality', 'independent film', 'mockumentary']"
136,"['southern usa', 'based on novel', 'singer', 'south']"
137,[]
138,"['skab under tv', 'foran', 'nederste hylde']"
139,"['gay', 'drag queen', 'homophobia', 'florida', 'coming out', 'senator', 'politician', 'lgbt', 'crossdressing', '1990s']"
140,"['mountain', 'miracle', 'apparition', 'communism', 'virgin mary']"
141,"['love', 'independent film', 'best friend', 'true love', 'irish catholic']"
142,"['miami', 'detective', 'handcuffs', 'airport', 'mexican standoff', 'strip club', 'witness protection', 'car crash', 'internal affairs', 'gunfight', 'explosion', 'brutality', 'foot chase', 'car chase', 'drug lord', 'hangar', 'loose cannon', 'bust', 'reference to skittles', 'black cop', 'badge', 'action hero', 'corrupt cop']"
143,"['china', 'panda', 'poacher']"
144,"['sport', 'basketball', 'addiction', 'friends', 'drug']"
145,"['england', 'based on novel', 'liverpool', 'theatre company', '1940s']"
146,['independent film']
147,"['moon', 'florida', 'nasa', 'spaceman', 'race against time', 'houston', 'based on true story', 'space', 'rescue', 'survival', 'disaster', 'explosion', 'astronaut', 'imax', 'saturn v rocket', 'courage', 'hypothermia', 'apollo program', 'cape kennedy', 'lunar mission', 'spacecraft accident']"
148,"['scotland', 'biography', '18th century', 'highlands', 'violent man']"
149,"['new york', 'philosophy', 'vampire', 'blood', 'student', 'violence']"
150,"['riddle', 'dc comics', 'rose', 'gotham city', 'partner', 'superhero', 'robin', 'broken neck', 'psychologist', 'violence', 'criminal', 'district attorney', 'millionaire', 'falling down stairs', 'tied up', 'tommy gun', 'beretta', 'knocked out', 'super powers', 'disfigurement', 'father figure']"
151,"['prostitute', 'adultery', 'double life', 'dual identity', 'jealousy', 'wife husband relationship', 'brothel', 'dream', ""women's sexual identity"", 'fantasy', 'masochism', 'independent film']"
152,"['burma', 'rangoon', 'doctor']"
153,"['smoking', 'corner shop', 'cigarette', 'tobacco', 'cigar', 'independent film']"
154,[]
155,"['halloween', 'friendship', 'supernatural', 'afterlife', 'friends', 'danger', 'ghost', 'disorder', 'young heroes', 'imaginary', 'supernatural ability', 'mischievous children']"
156,"['drug pusher', 'train', 'drug', 'drug lord']"
157,"['gorilla', 'kongo', 'diamond mine', 'diamond']"
158,"['submarine', 'mutiny', 'russia', 'missile', 'nuclear missile', 'embassy', 'u.s. navy', 'battle for power', 'torpedo', 'military', 'moral dilemma', 'post cold war', 'aircraft carrier', 'chain of command', 'launch code', 'sonar']"
159,"['underground', 'biography', 'art']"
160,"['gunslinger', 'anti terror', 'ambush', 'mexico', 'showdown', 'guitar', 'nudity', 'hitman', 'bartender', 'revenge', 'tragic hero', 'shootout', 'mariachi', 'explosion', 'extreme violence', 'brutality', 'drug lord', 'leg brace', 'concealed weapon', 'flashback', 'bookstore']"
161,"['jazz club', 'murder', 'los angeles', 'private detective', 'film noir', 'neo-noir']"
162,"['bomb', 'taxi', 'riddle', 'robbery', 'detective', 'helicopter', 'gold', 'subway', 'ship', 'fistfight', 'police', 'sequel', 'deception', 'shootout', 'new york city', 'explosion', 'violence', 'car chase', 'fbi agent', 'simon says', 'flashback', 'dump truck', 'aqueduct', 'action hero', 'federal reserve bank']"
163,"['sex', 'eroticism', 'nudity', 'nazis', 'suspense', 'drifter', 'voyeur']"
164,[]
165,"['camelot', 'knight', 'king arthur', 'excalibur', 'knights of the round table']"
166,"['human animal relationship', 'whale', 'killer whale']"
167,"['female nudity', 'hacker', 'nudity', 'computer virus', 'virtual reality', 'computer', 'sexual fantasy', 'prank', 'internet', 'cyberpunk', 'teenager', 'new york city', 'secret service', 'computer hacker', 'dream sequence']"
168,"['gay', 'aids', 'based on play or musical', 'hiv positive']"
169,"['brain', 'childhood memory', 'dystopia', 'pharmaceutical industry', 'computer chip', 'courier', 'cyber', 'cyberpunk']"
170,"['judge', 'post-apocalyptic', 'dystopia', 'based on comic', 'police officer', 'based on graphic novel', 'frame up', 'dystopic future', 'framed for murder', 'gene', 'prosthetic limb', 'post holocaust', 'dna testing', 'dredd', '2000 ad']"
171,"['stripper', 'jury', 'jurist', 'independent film', 'jury duty', 'verdict']"
172,"['puberty', 'first time']"
173,"['cinema', 'independent film', 'filmmaker']"
174,"['fanatic', 'supernatural', 'wizardry', 'resurrection', 'sect', 'occultism']"
175,[]
176,"['suicide attempt', 'college', 'teen angst', 'mental illness', 'woman director']"
177,"['sex', 'game show', 'slacker', 'shopping', 'mall', 'ex-boyfriend ex-girlfriend relationship', 'jay and silent bob', 'silent man', 'coke', 'bandleader', 'aftercreditsstinger']"
178,"['based on tv series', 'tokusatsu', 'superhero team', 'ethnic diversity', 'super sentai', 'power rangers', 'mighty morphin power rangers', 'mmpr']"
179,"['widow', 'female friendship', 'grief', 'death of husband']"
180,"['chase', 'police', 'murder', 'mute', 'disk']"
181,"['new york', 'vampire', 'dracula']"
182,"['cheating', 'new identity', 'computer virus', 'chase', 'computer', 'stalking']"
183,"['parent child relationship', 'baby', 'marriage', 'pregnancy', 'child wish']"
184,"['library', 'party', 'independent film', 'free spirit', 'woman director', 'librarian']"
185,"['angel', 'archangel gabriel', 'menschheit']"
186,"['trauma', 'game show', 'female protagonist', 'christmas']"
187,"['sex', 'chemical', 'medicine', 'housewife', 'pollution', 'quarantine', 'independent film', 'allergy', 'psychiatrist', 'illness', 'disorder', 'retreat', 'multiple chemical sensitivity (mcs)', 'environmental illness']"
188,"['based on novel', 'burning of witches', 'puritan', 'pregnancy', 'period drama', 'extramarital affair']"
189,[]
190,"['dancing', 'female nudity', 'go-go dancer', 'spanner', 'seduction', 'striptease', 'sexappeal']"
191,"['smoking', 'robber', 'cigarette', 'cigar', 'laden', 'independent film', 'writer']"
192,"['horse', 'savannah', 'based on true story', 'family']"
193,"['telepathy', 'dna', 'paranoia', 'genetics', 'instinct', 'femme fatale', 'alien', 'on the run', 'decapitation', 'sexual attraction', 'los angeles', 'cocoon', 'genetic engineering', 'scientists', 'alien dna']"
194,"['restaurant', 'oil', 'rural setting']"
195,"['pornography', 'prostitute', 'rape', 'police brutality', 'dream', 'ex-girlfriend', 'future', 'bodyguard', 'rapper', 'virtual reality', 'dystopia', 'minidisc', 'police', 'ex-cop', 'murder', 'cyberpunk', 'los angeles', 'violence', 'criminal', 'private detective', 'revolt', 'woman director']"
196,"['car mechanic', 'letter', 'musical', 'war', 'single']"
197,[]
198,"['baseball', 'drifter', 'dog', 'korean war', 'woman director']"
199,"['mentor', 'poet', 'woman director']"
200,"['transvestism', 'gay', 'new york', 'drag queen', 'homophobia', 'travel', 'road movie', 'woman director']"
201,"['terrorist', 'pentagon', 'satellite', 'navy seal', 'train']"
202,['woman director']
203,['fashion']
204,"['world war ii', 'vineyard', 'love', 'remake', 'pregnancy', 'harvest', 'grape', 'abandoned woman']"
205,"['ocean', 'tattoo', 'mutant', 'water', 'dystopia', 'doomsday']"
206,"['dystopia', 'black white relations', 'alternative universe']"
207,"['opium', 'loss of eyesight', 'biography', 'sioux', 'wild bill hickok', 'calamity jane']"
208,[]
209,"['cave', 'waterfall', 'children', 'mistaken identity', 'boy scouts leader']"
210,"['wife husband relationship', 'colonel']"
211,"['monk', 'mountain', 'restaurant', 'war photographer', 'christian', 'fashion photographer', 'girl', 'violence', 'albanian', 'macedonia']"
212,"['dialogue', 'sunrise', 'talking', 'soulmates', 'walking', 'austria', 'traveller', 'danube', 'bittersweet', 'romantic', 'vienna']"
213,['woman director']
214,"['alcohol', 'obsession', 'babysitter', 'party', 'teenager', 'parents']"
215,"['aids', 'roommate', 'homicide', 'car journey', 'friendship', 'friends', 'homosexuality', 'escape', 'road movie']"
216,['mississippi']
217,"['castle', 'voyeurism']"
218,"['forbidden love', 'moral conflict', 'independent film']"
219,"['salesclerk', 'loser', 'aftercreditsstinger']"
220,"['sex addiction', 'love', 'mental institution', 'patient', 'psychiatrist', 'don juan']"
221,"['employee', 'workplace', 'sexual harassment', 'intrigue']"
222,"['vision', 'psychic']"
223,"['terrorist', 'transport of prisoners', 'airplane', 'parachuting', 'suspense']"
224,"['heist', 'expectant father']"
225,"['married couple', 'chile', 'pinochet-regime', 'revenge', 'doctor', 'torture', 'humiliation']"
226,"['child abuse', 'detective', 'based on novel', 'bar', 'island', 'suspicion of murder', 'murder', 'suspense', 'dysfunctional family', 'domestic violence', 'reporter', 'maid', 'anger', 'alcoholic', 'accident', 'abusive father', 'abusive husband', 'anti-depressant', 'bangor-maine', 'bank account']"
227,"['gas station', 'motel', 'utah', 'stupidity', 'pill', 'prank', 'cigar smoking', 'violence', 'criminal', 'fired from the job', 'clumsiness', 'stepmother stepdaughter relationship', 'sitting on a toilet', 'aspen colorado', 'parakeet', 'defecation', 'scooter', 'hotel suite', 'endangered species', 'foolish', 'laxative']"
228,"['cooking', 'sense of life', 'daughter', 'dating', 'family']"
229,"['secret', 'nightclub', 'pet shop', 'independent film', 'unhappiness']"
230,"['female nudity', 'sexuality', 'island', 'love', 'mistress', 'kinky', 'smuggler', 'bdsm']"
231,"['individual', 'taxi', 'transsexuality', 'fortune teller', 'film business', 'film making', 'film producer', 'vororte', 'film maker', 'boxer', 'film director', 'oddball', 'celebrity', 'morphine', 'movie studio', 'los angeles', 'drug addict', 'cult director', 'theremin', 'handgun', 'trick or treating', 'actor', 'transvestite']"
232,"['paris', 'airport', 'in love with enemy', 'canadian', 'necklace', 'fear of flying', 'deal', 'vineyard', 'smuggling']"
233,"['paris', 'dallas', 'basketball', 'crisis', 'falling in love', 'referee']"
234,"['wilderness', 'boy and dog']"
235,"['father son relationship', 'pop singer', 'musical', 'celebrity', 'road trip', 'dead mother', 'first love', 'goofy']"
236,['suspense']
237,"['father son relationship', 'based on novel', 'reincarnation', 'talking dog', 'car accident', 'dog', 'flashback', 'dog movie']"
238,"['brother brother relationship', 'opera', 'eunuch', 'biography', 'dresden', 'opera singer']"
239,['country music']
240,[]
241,[]
242,"['chicago', 'sports team', 'ghetto', 'narration', 'college', 'sport', 'basketball', 'high school sports', 'independent film', 'inner city', 'high school student']"
243,"['mother', 'sex', 'secret', 'obsession', 'literature', 'nudity', 'fantasy', 'passion', 'love', 'friends', 'murder', 'independent film', 'lesbian', 'true', 'relationship']"
244,[]
245,"['deafness', 'sister-in-law', 'character study', 'uncle nephew relationship', 'für elise']"
246,"['overweight', 'summer camp']"
247,[]
248,"['wedding vows', 'mathematician', 'car mechanic', 'comet', 'albert einstein', ""halley's comet""]"
249,"['paris', 'san francisco', 'vampire', 'plantation', 'pity', 'bite', 'fang vamp']"
250,"['france', 'revolution', 'biography', 'president', 'history']"
251,"['new york', 'telephone joke', 'gangster']"
252,"['baby', 'medicine', 'media', 'pregnancy', 'scientist', 'science', 'male pregnancy', 'fertility', 'gynaecology', 'ceasarean birth']"
253,"['rape', 'black people', 'florida', 'professor', 'harvard university', 'innocence', 'revenge', 'suspense']"
254,"['time travel', 'kids', 'medieval times']"
255,['hoodlum']
256,"['android', 'galaxy', 'hermit', 'death star', 'lightsaber', 'jedi', 'rescue mission', 'empire', 'rebellion', 'planet', 'smuggler', 'the force', 'space opera', 'galactic war', 'stormtrooper', 'totalitarianism']"
257,"['depression', 'mother daughter relationship', 'pregnant', 'desire', 'chalkboard', '\xa0nightgown', 'louisa may alcott', 'birth of twins', 'woman director']"
258,"['based on novel', 'servant', 'private school', 'female friendship', 'boarding school', 'british', 'school', 'little girl', 'orphan', 'india', 'rich poor', 'father daughter relationship', 'schoolgirl', 'presumed dead', 'attic', 'imagination', 'african american servant', 'fantasy life']"
259,"['love', 'children', 'family', 'social services']"
260,[]
261,"['chocolate', 'jealousy', 'sister sister relationship', 'cooking', 'mexican revolution', 'marriage', 'wedding', 'single mother', 'recipe', 'magic realism', 'new mexican cinema', 'new latin american cinema']"
262,"['brother brother relationship', 'montana', 'based on novel', 'world war i', 'journey round the world']"
263,"['headquarter', 'military base', 'military service', 'base', 'major', 'military spoof', 'instructor']"
264,"['russian mafia', 'dysfunctional family', 'brothers']"
265,"['east los angeles', 'gang', 'los angeles', 'poverty', 'gang member', 'hispanic', 'mexican american', 'girl gang', 'woman director', 'cholo', 'chola']"
266,"['cruise', 'disabled', 'empire state building', 'accident', 'accident victim']"
267,"['mother', 'child abuse', 'single parent', 'based on novel', 'smoking', 'baby', 'social work', 'drug addiction', 'adoption', 'liberation', 'social worker', 'self-abandonment', 'court case', 'custody battle', 'son', 'looking for  birth parents', 'surrogate mother', 'racist', 'interracial relationship', 'extramarital affair']"
268,"['queen', 'kingdom', 'biography', 'victorian england', 'psychopathy']"
269,"['human experimentation', 'frankenstein', 'remake']"
270,[]
271,"['holiday', 'rollerblades', 'cross dresser', 'woman director', 'suicide hotline', 'christmas']"
272,"['prostitute', 'tree house', 'red-light disctrict', 'young people', 'stripper', 'make a match', 'mob boss']"
273,"['holiday', 'competition', 'new love', 'santa claus', 'department store', 'miracle', 'wish', 'christmas']"
274,[]
275,"['immigrant', 'marriage', 'independent film', 'family relationships', 'los angeles', 'family', 'death of wife']"
276,"['prison', 'prisoner', 'death row', 'alcatraz', 'lawyer', 'courtroom', 'murder trial', '1940s', 'mistreatment', 'public defender', 'prisoner abuse']"
277,"['illegal employment', 'retirement', 'drama']"
278,"['loss of mother', 'loss of sister', 'twin sister', 'autism', 'lake', 'kaspar-hauser-syndrom', 'feral child', 'forest', 'north carolina', 'psychologist', 'family']"
279,"['new jersey', 'police', 'brutality', 'troubled teen', 'hiphop', 'black youths']"
280,[]
281,"['suicide', 'detective', 'experiment', 'hallucination', 'scientist', 'drug', 'killer']"
282,"['cyborg', 'post-apocalyptic', 'sequel']"
283,[]
284,"['sadistic', 'journalist', 'mass murder', 'yellow press', 'trauma', 'daughter', 'satire', 'controversy', 'controversial', 'violence', 'young couple', 'abuse']"
285,"['venice', 'italy', 'fortune teller', 'soulmates', 'cheating', 'trip']"
286,"['individual', 'slum', 'suicide', 'tattoo', 'alcohol', 'rape', 'tradition', 'loss of child', 'indigenous', 'despair', 'violent husband', 'ghetto', 'new zealand', 'maori', 'strong woman', 'lack of prospects', 'maori tradition', 'funeral', 'approved school ', 'crush', 'independent film', 'teacher', 'youth gang', 'domestic violence', 'violence', 'rebellious youth', 'alcohol abuse', 'incest', 'unemployment']"
287,"['sex', 'obsession', 'diary', 'murder', 'student', 'lust', 'art', 'woman director', 'erotic movie']"
288,"['river', 'general', 'research', 'army', 'serum', 'monkey', 'epidemic', 'medical research']"
289,"['new york', 'corruption', 'assassin', 'police brutality', 'loss of family', 's.w.a.t.', 'immigrant', 'hitman', 'training', 'revenge', 'murder', 'loneliness', 'neighbor', 'tragic love', 'cult film', 'neo-noir', 'complex relationship', 'complex characters']"
290,"['immigration', 'independent film', 'woman director', 'political prisoner', 'cuban refugees']"
291,"['jealousy', 'burning house', 'teenage crush', 'arsonist']"
